jp,kana,mean,JLPT Level
教室,きょうしつ,교실,N5
兄弟,きょうだい,형제자매,N5
去年,きょねん,작년,N5
嫌い,きらい,싫어하다,N5
切る,きる,"자르다, (전화) 끊다",N5
着る,きる,(상의 등을) 입다,N5
綺麗,きれい,"예쁘다, 깨끗하다",N5
キロ; キログラム,キロ; キログラム,킬로그램 (약어),N5
キロ; キロメートル,キロ; キロメートル,킬로미터 (약어),N5
銀行,ぎんこう,은행,N5
金曜日,きんようび,금요일,N5
九,く,아홉,N5
薬,くすり,"약, 약품",N5
下さい,ください,(~해 주세요),N5
果物,くだもの,과일,N5
口,くち,"입구, 일자리",N5
靴,くつ,신발,N5
靴下,くつした,양말,N5
国,くに,"나라, 고향",N5
曇り,くもり,"흐림, 구름낌",N5
曇る,くもる,흐려지다,N5
暗い,くらい,어둡다,N5
～くらい; ぐらい,～くらい; ぐらい,"대략, 대충",N5
クラス,クラス,"수업, 반",N5
グラム,グラム,그램,N5
来る,くる,오다,N5
車,くるま,"자동차, 차",N5
黒,くろ,검정색,N5
黒い,くろい,검다,N5
警官,けいかん,경찰관,N5
今朝,けさ,오늘 아침,N5
消す,けす,"지우다, 끄다",N5
結構,けっこう,"훌륭하다, 충분하다",N5
結婚,けっこん (する),결혼,N5
月曜日,げつようび,월요일,N5
玄関,げんかん,현관,N5
元気,げんき,"건강하다, 활기차다",N5
～個,～こ,(작은 물건) 개수 세는 단위,N5
五,ご,다섯,N5
～語,～ご,"단어, 언어",N5
公園,こうえん,공원,N5
交差点,こうさてん,교차로,N5
紅茶,こうちゃ,홍차,N5
交番,こうばん,파출소,N5
声,こえ,목소리,N5
コート,コート,"코트, (테니스) 코트",N5
コーヒー,コーヒー,커피,N5
ここ,ここ,"여기, 이곳",N5
午後,ごご,오후,N5
九日,ここのか,"9일, 9일째",N5
九つ,ここのつ,9개,N5
午前,ごぜん,오전,N5
答える,こたえる,대답하다,N5
こちら,こちら,"이분 (공손), 이쪽 (공손)",N5
こっち,こっち,"이 사람, 이쪽",N5
コップ,コップ,"컵, 유리잔",N5
今年,ことし,올해,N5
言葉,ことば,"언어, 말",N5
子供,こども,"아이, 자녀",N5
この,この,이것,N5
御飯,ごはん,"밥, 식사",N5
コピーする,コピーする,복사하다,N5
困る,こまる,"곤란하다, 힘들다",N5
これ,これ,이것,N5
～ころ; ～ごろ,～ころ; ～ごろ,"약, ~쯤",N5
今月,こんげつ,이번 달,N5
今週,こんしゅう,이번 주,N5
こんな,こんな,"이런, 이렇게",N5
今晩,こんばん,오늘 밤,N5
さあ,さあ,"자, 이제",N5
～歳,～さい,~살,N5
財布,さいふ,지갑,N5
魚,さかな,물고기,N5
先,さき,"미래, 최근, 예전",N5
咲く,さく,피다 (꽃이),N5
作文,さくぶん,"작문, 에세이",N5
差す,さす,"들다, (손을) 들다",N5
～冊,～さつ,권 (책의 수),N5
雑誌,ざっし,잡지,N5
砂糖,さとう,설탕,N5
寒い,さむい,춥다 (날씨),N5
さ来年,さらいねん,내년 다음 해,N5
～さん,～さん,~씨 (존칭),N5
三,さん,셋,N5
散歩,さんぽ (する),산책하다,N5
四,し,넷,N5
～時,～じ,~시,N5
塩,しお,소금,N5
しかし,しかし,하지만,N5
時間,じかん,시간,N5
～時間,～じかん,~시간,N5
仕事,しごと,"일, 직업, 직장",N5
辞書,じしょ,사전,N5
静か,しずか,"조용한, 차분한",N5
下,した,"아래, 밑",N5
七,しち,일곱,N5
質問,しつもん,질문,N5
自転車,じてんしゃ,자전거,N5
自動車,じどうしゃ,자동차,N5
死ぬ,しぬ,죽다,N5
字引,じびき,사전,N5
自分,じぶん,나 자신,N5
閉まる,しまる,닫히다,N5
閉める,しめる,닫다,N5
締める,しめる,"묶다, 조이다",N5
じゃ; じゃあ,じゃ; じゃあ,"자, 그럼",N5
写真,しゃしん,사진,N5
シャツ,シャツ,셔츠,N5
シャワー,シャワー,샤워,N5
十,じゅう,열,N5
～中,～じゅう,"동안, ~하는 중에",N5
～週間,～しゅうかん,~주일,N5
授業,じゅぎょう,학급,N5
宿題,しゅくだい,숙제,N5
上手,じょうず,"잘하다, 능숙하다",N5
丈夫,じょうぶ,"강하다, 튼튼하다",N5
醤油,しょうゆ,간장,N5
食堂,しょくどう,식당,N5
知る,しる,"알다, 이해하다",N5
白,しろ,하얗다,N5
白い,しろい,흰색,N5
～人,～じん,명 (사람 수 세는 단위),N5
新聞,しんぶん,신문,N5
水曜日,すいようび,수요일,N5
吸う,すう,"들이마시다, 빨아들이다",N5
スカート,スカート,치마,N5
好き,すき,"좋아함, 사랑",N5
～すぎ,～すぎ,"지나치다, ~너무",N5
少ない,すくない,조금,N5
すぐに,すぐに,"곧, 바로",N5
少し,すこし,"조금, 약간",N5
涼しい,すずしい,시원하다 (날씨),N5
～ずつ,～ずつ,"한 번에, 동시에",N5
ストーブ,ストーブ,난로,N5
スプーン,スプーン,숟가락,N5
スポーツ,スポーツ,스포츠,N5
ズボン,ズボン,바지,N5
住む,すむ,"살다, 거주하다",N5
する,する,"하다, 착용하다 (소품 등)",N5
座る,すわる,앉다,N5
背,せい,"키, 신장",N5
生徒,せいと,"학생, 제자",N5
セーター,セーター,스웨터,N5
石鹸,せっけん,비누,N5
背広,せびろ,양복,N5
狭い,せまい,좁다,N5
ゼロ,ゼロ,0,N5
千,せん,천,N5
先月,せんげつ,지난달,N5
先週,せんしゅう,지난주,N5
先生,せんせい,"선생님, 교수, 의사",N5
洗濯,せんたく,"세탁, 빨래",N5
全部,ぜんぶ,"모두, 전부",N5
そう; そうです,そう; そうです,"그렇다, 그렇네요",N5
掃除,そうじ (する),청소,N5
そうして; そして,そうして; そして,"그리고, 그렇게",N5
そこ,そこ,"그곳, 아래, 밑",N5
そちら,そちら,저쪽,N5
そっち,そっち,저기,N5
外,そと,"밖, 외부",N5
その,その,그것,N5
そば,そば,"가까운, 곁, 메밀국수",N5
空,そら,하늘,N5
それ,それ,그것,N5
それから,それから,그리고 나서,N5
それでは,それでは,"그때, 그 상황에서",N5
～台,～だい,(탈것) 대수 세는 단위,N5
大学,だいがく,대학교,N5
大使館,たいしかん,대사관,N5
大丈夫,だいじょうぶ,"괜찮다, 문제없다",N5
大好き,だいすき,아주 좋아하다,N5
大切,たいせつ,중요하다,N5
台所,だいどころ,"부엌, 주방",N5
大変,たいへん,"아주, 매우, 힘들다",N5
高い,たかい,"높다, 비싸다",N5
～だけ,～だけ,"~만, ~뿐",N5
沢山,たくさん,"많이, 다량의",N5
タクシー,タクシー,택시,N5
出す,だす,"내다, 제출하다",N5
～たち,～たち,복수형 접미사,N5
立つ,たつ,일어서다,N5
たて,たて,"길이, 높이",N5
建物,たてもの,건물,N5
楽しい,たのしい,"재미있다, 즐겁다",N5
頼む,たのむ,"부탁하다, 요청하다",N5
たばこ,たばこ,담배,N5
多分,たぶん,"아마, 아마도",N5
食べ物,たべもの,음식,N5
食べる,たべる,먹다,N5
卵,たまご,달걀,N5
誰,だれ,누구,N5
誰か,だれか,누군가,N5
誕生日,たんじょうび,생일,N5
段々,だんだん,"점점, 서서히",N5
小さい,ちいさい,작은,N5
小さな,ちいさな,작은,N5
近い,ちかい,"가깝다, 짧다",N5
違う,ちがう,"다르다, 틀리다",N5
近く,ちかく,"근처, 이웃",N5
地下鉄,ちかてつ,지하철,N5
地図,ちず,지도,N5
父,ちち,아버지 (내),N5
茶色,ちゃいろ,갈색,N5
茶碗,ちゃわん,밥그릇,N5
～中,～ちゅう,~하는 동안,N5
丁度,ちょうど,"딱, 정확히",N5
ちょっと,ちょっと,"조금, 약간",N5
一日,ついたち,"1일, 1일째",N5
使う,つかう,사용하다,N5
疲れる,つかれる,피곤하다,N5
次,つぎ,다음,N5
着く,つく,도착하다,N5
机,つくえ,책상,N5
作る,つくる,"만들다, 창조하다",N5
つける,つける,"켜다, 켜두다",N5
勤める,つとめる,일하다,N5
つまらない,つまらない,"지루하다, 시시하다",N5
冷たい,つめたい,"차갑다 (물건, 사람)",N5
強い,つよい,"강하다, 힘이 세다",N5
手,て,손,N5
テープ,テープ,테이프,N5
テープレコーダー,テープレコーダー,테이프 레코더,N5
テーブル,テーブル,"탁자, 테이블",N5
出かける,でかける,"나가다, 출발하다",N5
手紙,てがみ,편지,N5
できる,できる,할 수 있다,N5
出口,でぐち,출구,N5
テスト,テスト,시험,N5
では,では,"그럼, 그래서",N5
デパート,デパート,백화점 (약어),N5
でも,でも,"그러나, 하지만",N5
出る,でる,"나타나다, 떠나다",N5
テレビ,テレビ,텔레비전,N5
天気,てんき,날씨,N5
電気,でんき,"전기, 불빛",N5
電車,でんしゃ,전철,N5
電話,でんわ,전화,N5
戸,と,문 (일본식),N5
～度,～ど,"회, 점수, 도",N5
ドア,ドア,문 (서양식),N5
トイレ,トイレ,"욕실, 화장실",N5
どう,どう,어떻게,N5
どうして,どうして,왜,N5
どうぞ,どうぞ,"부디, 제발",N5
動物,どうぶつ,동물,N5
どうも,どうも,"감사합니다, 어떻게든",N5
十,(〜を) とお,열 (~개),N5
遠い,とおい,멀다,N5
十日,とおか,"10일, 10일째",N5
～時,～とき,~할 때,N5
時々,ときどき,가끔,N5
時計,とけい,시계,N5
どこ,どこ,어디,N5
所,ところ,"장소, 곳",N5
年,とし,"연도, 나이",N5
図書館,としょかん,도서관,N5
どちら,どちら,"어느 분, 어느 쪽 (공손)",N5
どっち,どっち,"어느 것, 어느 쪽",N5
とても,とても,"매우, 크게, 대단히",N5
どなた,どなた,누구,N5
隣,となり,"옆, 이웃",N5
どの,どの,어느,N5
飛ぶ,とぶ,"날다, 뛰다",N5
止まる,とまる,멈추다,N5
友達,ともだち,친구,N5
土曜日,どようび,토요일,N5
鳥,とり,"새, 새(조류)",N5
鶏肉,とりにく,닭고기,N5
取る,とる,"(수업을) 듣다, (성적을) 받다",N5
撮る,とる,"사진 찍다, (영화) 촬영하다",N5
どれ,どれ,어느 것,N5
どんな,どんな,"무엇, 어떤 종류",N5
ない,ない,"없다, 가지지 않다",N5
ナイフ,ナイフ,칼,N5
中,なか,"안, 내부, 가운데",N5
長い,ながい,길다,N5
鳴く,なく,(동물이) 울다,N5
無くす,なくす,잃어버리다,N5
なぜ,なぜ,왜,N5
夏,なつ,여름,N5
夏休み,なつやすみ,여름방학,N5
～など,～など,등등,N5
七つ,ななつ,일곱 개,N5
何,なん; なに,무엇,N5
七日,なのか,"7일, 7일째",N5
名前,なまえ,이름,N5
習う,ならう,배우다,N5
並ぶ,ならぶ,줄 서다,N5
並べる,ならべる,"나란히 두다, 줄 세우다",N5
なる,なる,되다,N5
何～,なん～,어떤,N5
二,に,둘,N5
にぎやか,にぎやか,"붐비는, 바쁜",N5
肉,にく,고기,N5
西,にし,서쪽,N5
～日,～にち,"~일간, ~일째",N5
日曜日,にちようび,일요일,N5
荷物,にもつ,"짐, 수하물",N5
ニュース,ニュース,뉴스,N5
庭,にわ,정원,N5
～人,～にん,명 (사람 세는 단위),N5
脱ぐ,ぬぐ,(옷을) 벗다,N5
温い,ぬるい,미지근한,N5
ネクタイ,ネクタイ,넥타이,N5
猫,ねこ,고양이,N5
寝る,ねる,자다,N5
～年,～ねん,~년,N5
ノート,ノート,"노트, 공책",N5
登る,のぼる,"오르다, 등산하다",N5
飲み物,のみもの,음료,N5
飲む,のむ,마시다,N5
乗る,のる,"타다, 승차하다",N5
歯,は,"이, 치아",N5
パーティー,パーティー,파티,N5
はい,はい,예,N5
～杯,～はい,컵 (단위),N5
灰皿,はいざら,재떨이,N5
入る,はいる,"들어가다, 담기다",N5
葉書,はがき,엽서,N5
はく,はく,(하의 등을) 입다,N5
箱,はこ,상자,N5
橋,はし,다리 (bridge),N5
箸,はし,젓가락,N5
始まる,はじまる,시작되다,N5
初め; 始め,はじめ,"시작, 처음",N5
初めて,はじめて,처음으로,N5
走る,はしる,달리다,N5
バス,バス,"버스, 목욕, 베이스",N5
バター,バター,버터,N5
二十歳,はたち,20살,N5
働く,はたらく,일하다,N5
八,はち,여덟,N5
二十日,はつか,"20일, 20일째",N5
花,はな,꽃,N5
鼻,はな,코,N5
話,はなし,이야기,N5
話す,はなす,말하다,N5
母,はは,어머니,N5
早い,はやい,이른,N5
速い,はやい,"빠르다, 빠른",N5
春,はる,봄,N5
貼る,はる,"붙이다, 게시하다",N5
晴れ,はれ,맑은 날씨,N5
晴れる,はれる,맑다,N5
半,はん,반 (예: 두 시 반),N5
晩,ばん,저녁,N5
～番,～ばん,~번째,N5
パン,パン,빵,N5
ハンカチ,ハンカチ,손수건,N5
番号,ばんごう,번호,N5
晩御飯,ばんごはん,저녁식사,N5
半分,はんぶん,절반,N5
東,ひがし,동쪽,N5
～匹,～ひき,작은 동물 세는 단위,N5
引く,ひく,"당기다, 빼다",N5
弾く,ひく,"(악기, 피아노) 연주하다",N5
低い,ひくい,"짧은, 키가 작은",N5
飛行機,ひこうき,비행기,N5
左,ひだり,왼쪽,N5
人,ひと,"사람, 인간",N5
一つ,ひとつ,한 개,N5
一月,ひとつき,한 달,N5
一人,ひとり,한 사람,N5
暇,ひま,"여가, 자유시간",N5
百,ひゃく,백,N5
病院,びょういん,병원,N5
病気,びょうき,"병, 질병",N5
平仮名,ひらがな,히라가나,N5
昼,ひる,"정오, 낮",N5
昼御飯,ひるごはん,점심,N5
広い,ひろい,"넓은, 넓다",N5
フィルム,フィルム,필름,N5
封筒,ふうとう,봉투,N5
プール,プール,수영장,N5
フォーク,フォーク,포크,N5
吹く,ふく,불다,N5
服,ふく,옷,N5
二つ,ふたつ,두 개,N5
豚肉,ぶたにく,돼지고기,N5
二人,ふたり,두 사람,N5
二日,ふつか,"2일, 2일째",N5
太い,ふとい,"뚱뚱한, 두꺼운",N5
冬,ふゆ,겨울,N5
降る,ふる,내리다 (비·눈 등),N5
古い,ふるい,"낡은, 오래된",N5
～分,～ふん,~분,N5
文章,ぶんしょう,"문장, 글",N5
ページ,ページ,페이지,N5
下手,へた,"서투른, 못하는",N5
ベッド,ベッド,침대,N5
ペット,ペット,애완동물,N5
部屋,へや,방,N5
辺,へん,"주변, 근처",N5
ペン,ペン,펜,N5
勉強,べんきょう (する),공부,N5
便利,べんり,"편리한, 유용한",N5
帽子,ぼうし,"모자, 캡",N5
ボールペン,ボールペン,볼펜,N5
外,ほか,"기타, 나머지",N5
ポケット,ポケット,주머니,N5
欲しい,ほしい,"원하다, 필요로 하다",N5
ポスト,ポスト,"우체통, 직위",N5
細い,ほそい,"가늘다, 얇다",N5
ボタン,ボタン,단추,N5
ホテル,ホテル,호텔,N5
本,ほん,책,N5
～本,～ほん,긴 것 세는 단위,N5
本棚,ほんだな,책장,N5
本当,ほんとう,"진짜, 진실",N5
～枚,～まい,평평한 것 세는 단위,N5
毎朝,まいあさ,매일 아침,N5
毎月,まいげつ; まいつき,매월,N5
毎週,まいしゅう,매주,N5
毎日,まいにち,매일,N5
毎年,まいねん; まいとし,매년,N5
毎晩,まいばん,매일 밤,N5
前,まえ,"앞, 전에",N5
～前,～まえ,~의 앞에,N5
曲る,まがる,"돌다, 구부러지다",N5
まずい,まずい,"맛없다, 불쾌한",N5
また,また,"그리고, 또한",N5
まだ,まだ,"아직, 게다가",N5
町,まち,"마을, 도시",N5
待つ,まつ,기다리다,N5
まっすぐ,まっすぐ,"곧장, 바로",N5
マッチ,マッチ,"시합, 경기",N5
窓,まど,창문,N5
丸い; 円い,まるい,둥근,N5
万,まん,만,N5
万年筆,まんねんひつ,만년필,N5
磨く,みがく,"닦다, (이)닦다",N5
右,みぎ,오른쪽,N5
短い,みじかい,짧은 (길이),N5
水,みず,물,N5
店,みせ,"가게, 상점",N5
見せる,みせる,보여주다,N5
道,みち,"길, 거리, 방법",N5
三日,みっか,"3일, 3일째",N5
三つ,みっつ,3개,N5
緑,みどり,초록색,N5
皆さん,みなさん,"여러분, 모두",N5
南,みなみ,남쪽,N5
耳,みみ,귀,N5
見る,みる,보다,N5
みんな,みんな,"모두, 모두들",N5
六日,むいか,"6일, 6일째",N5
向こう,むこう,"저편, 저쪽",N5
難しい,むずかしい,어렵다,N5
六つ,むっつ,6개,N5
村,むら,마을,N5
目,め,눈,N5
メートル,メートル,미터,N5
眼鏡,めがね,안경,N5
もう,もう,"이미, 또, 더",N5
木曜日,もくようび,목요일,N5
もしもし,もしもし,여보세요 (전화),N5
持つ,もつ,"가지다, 들다",N5
もっと,もっと,더,N5
物,もの,"물건, 사물",N5
門,もん,문,N5
問題,もんだい,문제,N5
～屋,～や,~가게,N5
八百屋,やおや,야채 가게,N5
野菜,やさい,야채,N5
易しい,やさしい,"쉽다, 간단하다",N5
安い,やすい,싸다 (값이),N5
休み,やすみ,"휴일, 휴가",N5
休む,やすむ,쉬다,N5
八つ,やっつ,8개,N5
山,やま,산,N5
やる,やる,"하다, 주다 (동물 등에게)",N5
夕方,ゆうがた,"늦은 오후, 저녁 무렵",N5
夕飯,ゆうはん,저녁식사,N5
郵便局,ゆうびんきょく,우체국,N5
昨夜,ゆうべ,어젯밤,N5
有名,ゆうめい,유명한,N5
雪,ゆき,눈 (snow),N5
ゆっくりと,ゆっくりと,"천천히, 느긋하게",N5
八日,ようか,"8일, 8일째",N5
洋服,ようふく,양복,N5
よく,よく,"자주, 잘",N5
横,よこ,"옆, 너비",N5
四日,よっか,"4일, 4일째",N5
四つ,よっつ,4개,N5
呼ぶ,よぶ,"부르다, 초대하다",N5
読む,よむ,읽다,N5
夜,よる,"밤, 저녁",N5
弱い,よわい,약한,N5
来月,らいげつ,다음 달,N5
来週,らいしゅう,다음 주,N5
来年,らいねん,내년,N5
ラジオ,ラジオ,라디오,N5
ラジオカセ,ラジオカセ,라디오카세트,N5
りっぱ,りっぱ,"멋지다, 훌륭하다",N5
留学生,りゅうがくせい,유학생,N5
両親,りょうしん,부모님,N5
料理,りょうり,"요리, 음식",N5
旅行,りょこう,여행,N5
零,れい,0,N5
冷蔵庫,れいぞうこ,냉장고,N5
レコード,レコード,레코드,N5
レストラン,レストラン,레스토랑,N5
練習,れんしゅう (する),연습하다,N5
廊下,ろうか,복도,N5
六,ろく,여섯,N5
ワイシャツ,ワイシャツ,와이셔츠,N5
若い,わかい,어리다,N5
分かる,わかる,이해하다,N5
忘れる,わすれる,잊다,N5
私,わたし,나,N5
私,わたくし,"저 (공손), 사적인",N5
渡す,わたす,건네다,N5
渡る,わたる,건너다,N5
悪い,わるい,"나쁘다, 좋지 않다",N5
