textja,pronunciation,translation,category
プレゼント用に包んでください。,purezento you ni tsutsunde kudasai,선물용으로 포장해주세요,쇼핑
返金できますか？,henkin dekimasu ka,환불 가능해요?,쇼핑
これを探しています。,kore o sagashiteimasu,이걸 찾고 있어요,쇼핑
見るだけです。,miru dake desu,보기만 할게요,쇼핑
駅はどこですか？,eki wa doko desu ka,역은 어디인가요?,길찾기
地図で教えてください。,chizu de oshiete kudasai,지도로 알려주세요,길찾기
右ですか、左ですか？,"migi desu ka, hidari desu ka",오른쪽인가요 왼쪽인가요?,길찾기
この近くにコンビニありますか？,kono chikaku ni konbini arimasu ka,이 근처에 편의점 있나요?,길찾기
ここから遠いですか？,koko kara tooi desu ka,여기서 멀어요?,길찾기
歩いて行けますか？,aruite ikemasu ka,걸어서 갈 수 있나요?,길찾기
バス停はどこですか？,basutei wa doko desu ka,버스 정류장은 어디인가요?,길찾기
道に迷いました。,michi ni mayoimashita,길을 잃었어요,길찾기
助けてください。,tasukete kudasai,도와주세요,길찾기
この住所に行きたいです。,kono juusho ni ikitai desu,이 주소로 가고 싶어요,길찾기
病院はどこですか？,byouin wa doko desu ka,병원은 어디인가요?,응급/병원
頭が痛いです。,atama ga itai desu,머리가 아파요,응급/병원
気分が悪いです。,kibun ga warui desu,기분이 나빠요,응급/병원
救急車を呼んでください。,kyuukyuusha o yonde kudasai,구급차 불러주세요,응급/병원
薬をください。,kusuri o kudasai,약 주세요,응급/병원
熱があります。,netsu ga arimasu,열이 있어요,응급/병원
アレルギーがあります。,arerugii ga arimasu,알레르기가 있어요,응급/병원
休める場所はありますか？,yasumeru basho wa arimasu ka,쉴 수 있는 곳이 있나요?,응급/병원
薬局はどこですか？,yakkyoku wa doko desu ka,약국은 어디인가요?,응급/병원
この薬はどう飲みますか？,kono kusuri wa dou nomimasu ka,이 약은 어떻게 먹나요?,응급/병원
写真を撮ってもいいですか？,shashin o totte mo ii desu ka,사진 찍어도 되나요?,관광지
入場料はいくらですか？,nyuujouryou wa ikura desu ka,입장료는 얼마인가요?,관광지
ガイドツアーはありますか？,gaido tsuaa wa arimasu ka,가이드 투어 있나요?,관광지
パンフレットをください。,panfuretto o kudasai,팸플릿 주세요,관광지
おすすめスポットはどこですか？,osusume supotto wa doko desu ka,추천 명소는 어디인가요?,관광지
この建物は何ですか？,kono tatemono wa nan desu ka,이 건물은 뭐예요?,관광지
出口はどこですか？,deguchi wa doko desu ka,출구는 어디인가요?,관광지
トイレはどこですか？,toire wa doko desu ka,화장실은 어디인가요?,관광지
ここで食べてもいいですか？,koko de tabete mo ii desu ka,여기서 먹어도 되나요?,관광지
閉館時間は何時ですか？,heikan jikan wa nanji desu ka,폐관 시간은 몇 시예요?,관광지
チェックインカウンターはどこですか？,chekkuin kauntaa wa doko desu ka,체크인 카운터는 어디인가요?,공항
搭乗口はどこですか？,toujouguchi wa doko desu ka,탑승구는 어디인가요?,공항
パスポートを見せます。,pasupooto o misemasu,여권을 보여드릴게요,공항
荷物を預けたいです。,nimotsu o azuketai desu,짐을 맡기고 싶어요,공항
税関はどこですか？,zeikan wa doko desu ka,세관은 어디인가요?,공항
両替できますか？,ryougae dekimasu ka,환전할 수 있나요?,공항
トランジットです。,toranjitto desu,환승이에요,공항
搭乗券をなくしました。,toujouken o nakushimashita,탑승권을 잃어버렸어요,공항
出発は何時ですか？,shuppatsu wa nanji desu ka,출발은 몇 시예요?,공항
搭乗時間は何時ですか？,toujoujikan wa nanji desu ka,탑승 시간은 몇 시인가요?,공항
おはようございます。,ohayou gozaimasu,좋은 아침입니다,일상 표현
こんにちは。,konnichiwa,안녕하세요(낮 인사),일상 표현
こんばんは。,konbanwa,좋은 저녁이에요,일상 표현
おやすみなさい。,oyasuminasai,잘 자요,일상 표현
ありがとう。,arigatou,고마워요,일상 표현
すみません。,sumimasen,죄송합니다 / 실례합니다,일상 표현
大丈夫ですか？,daijoubu desu ka,괜찮아요?,일상 표현
はい。,hai,네,일상 표현
いいえ。,iie,아니요,일상 표현
お願いします。,onegaishimasu,부탁드립니다,일상 표현
チェックインをお願いします。,chekkuin o onegaishimasu,체크인 부탁드립니다,숙박/호텔
チェックアウトは何時ですか？,chekkuauto wa nanji desu ka,체크아웃은 몇 시인가요?,숙박/호텔
予約しています。,yoyaku shiteimasu,예약했습니다,숙박/호텔
Wi-Fiはありますか？,waifai wa arimasu ka,와이파이 있나요?,숙박/호텔
シャワーが出ません。,shawaa ga demasen,샤워가 안 나와요,숙박/호텔
タオルをください。,taoru o kudasai,수건 주세요,숙박/호텔
部屋を掃除してください。,heya o souji shite kudasai,방 청소해주세요,숙박/호텔
鍵をなくしました。,kagi o nakushimashita,열쇠를 잃어버렸어요,숙박/호텔
もう一泊できますか？,mou ippaku dekimasu ka,하룻밤 더 묵을 수 있나요?,숙박/호텔
ありがとうございました。,arigatou gozaimashita,감사했습니다,숙박/호텔
切符をください。,kippu o kudasai,표 주세요,교통
次の電車は何時ですか？,tsugi no densha wa nanji desu ka,다음 열차는 몇 시예요?,교통
東京駅までいくらですか？,toukyou eki made ikura desu ka,도쿄역까지 얼마인가요?,교통
この電車は新宿に行きますか？,kono densha wa shinjuku ni ikimasu ka,이 열차는 신주쿠에 가나요?,교통
バスに乗りたいです。,basu ni noritai desu,버스를 타고 싶어요,교통
タクシーを呼んでください。,takushii o yonde kudasai,택시 불러주세요,교통
ここで降ります。,koko de orimasu,여기서 내릴게요,교통
運賃はいくらですか？,unchin wa ikura desu ka,요금은 얼마인가요?,교통
Suicaカード使えますか？,suika kaado tsukaemasu ka,스이카 카드 사용할 수 있나요?,교통
渋滞していますね。,juutai shiteimasune,차가 막히네요,교통
